t,VarX_0.003,meanX_0.003,VarX_0.01,meanX_0.01,VarX_0.03,meanX_0.03,VarX_0.1,meanX_0.1,VarA1,meanA1
64,1.14157535462645e-08,2.91320471478381e-08,1.27119262840436e-07,9.47955974648698e-08,1.15125817727303e-06,2.62633212502115e-07,1.30580777529358e-05,8.2300438012325e-07,0.00126713579043134,9.73524911185605e-06
65,1.16208666393456e-08,3.10820358819757e-08,1.29417810396474e-07,1.01295145962947e-07,1.17243271837614e-06,2.81811817751987e-07,1.33144145731882e-05,8.790809506774e-07,0.00128984959917699,1.03838028906974e-05
66,1.18464566438986e-08,3.01275898365878e-08,1.31942861788957e-07,9.81472451364e-08,1.19576080504537e-06,2.73503126155375e-07,1.35897923942336e-05,8.52973689006766e-07,0.00131485350596277,1.00655892870621e-05
67,1.206587264762e-08,3.17284518516904e-08,1.34401011924807e-07,1.03906360810891e-07,1.21833133329352e-06,2.93771502203893e-07,1.3854745224886e-05,9.32489992686734e-07,0.00133913426816279,1.05766663929598e-05
68,1.2271840477118e-08,3.6571785991039e-08,1.36695560434934e-07,1.19330616776983e-07,1.23929183688334e-06,3.35681775845157e-07,1.4096282628277e-05,1.04079017463954e-06,0.00136203561874182,1.22062712155141e-05
69,1.2478655826278e-08,3.56947056346521e-08,1.38997047186296e-07,1.16448323740993e-07,1.26022568384962e-06,3.27333621575543e-07,1.43379852235319e-05,1.01877189961786e-06,0.00138500529963636,1.1913599772498e-05
70,1.26776780746867e-08,3.19835055409108e-08,1.41207727980138e-07,1.03772663894497e-07,1.28019090472286e-06,2.86173189745858e-07,1.45709976126195e-05,8.41334948865311e-07,0.00140714021590848,1.06900354249151e-05
71,1.28858660944885e-08,2.87986065868083e-08,1.43520422886475e-07,9.31076530523886e-08,1.30157748838087e-06,2.50976098323431e-07,1.48172571417684e-05,7.33596831317206e-07,0.0014302923375585,9.63490813094979e-06
72,1.30760482791886e-08,2.5659010316557e-08,1.45637574805879e-07,8.23912975757692e-08,1.32083351959821e-06,2.14924195223761e-07,1.50426319818984e-05,6.03186113462844e-07,0.00145140516401498,8.59493619218898e-06
73,1.32413924732195e-08,2.27143245910478e-08,1.47489010762084e-07,7.23123540318007e-08,1.33783896069712e-06,1.8358753842686e-07,1.52484361622054e-05,4.99454668590781e-07,0.00146971993056867,7.62822529961916e-06
74,1.34651093522593e-08,2.10918796856962e-08,1.49973363757977e-07,6.71137388986296e-08,1.35991253639102e-06,1.67657874806886e-07,1.54884944418472e-05,4.4628383302424e-07,0.0014945810131688,7.08466487443527e-06
75,1.36324430210464e-08,1.65612671107082e-08,1.51839859010742e-07,5.18845577965175e-08,1.37677578835584e-06,1.2196568716132e-07,1.56878704694499e-05,2.88802432997755e-07,0.00151315235649186,5.58365227904314e-06
76,1.38455595287542e-08,1.03974311852017e-08,1.54226581771587e-07,3.1803199403846e-08,1.39824126802094e-06,6.32489935950772e-08,1.59362398007021e-05,9.06212067823881e-08,0.00153677851555872,3.51786840636585e-06
77,1.40700972879409e-08,7.13291618527459e-09,1.56715374210908e-07,2.08307766793781e-08,1.42032880487137e-06,2.80868130069021e-08,1.61896558534663e-05,-3.17545151597554e-08,0.00156165888996423,2.41443264879882e-06
78,1.43159629258093e-08,7.74973605202799e-09,1.59449228323887e-07,2.33301820545096e-08,1.44525424393836e-06,3.86656552977073e-08,1.64691881923509e-05,9.99334024554233e-09,0.00158896224291269,2.60213177677176e-06
79,1.45288550817193e-08,1.23630411616529e-08,1.6180464789684e-07,3.86341159561569e-08,1.46608248696153e-06,8.25545688203767e-08,1.67026897517219e-05,1.48900633948976e-07,0.00161266590112122,4.14709509089898e-06
80,1.47531993497555e-08,1.17181009330617e-08,1.64311017279892e-07,3.64997325192166e-08,1.48916313376565e-06,7.70728611095154e-08,1.69758110134426e-05,1.49076552199472e-07,0.0016375326574741,3.92950529234419e-06
81,1.49445904143312e-08,6.2633973121782e-09,1.66422321378535e-07,1.81736241986575e-08,1.50790257889371e-06,2.16990647918097e-08,1.71864791908748e-05,-3.0556028737016e-08,0.00165890158465256,2.11600031297192e-06
82,1.51393189010789e-08,3.62002611650174e-09,1.68601934885215e-07,9.43344219645878e-09,1.52779528618618e-06,-4.627514274422e-09,1.74147794389916e-05,-1.2239577067672e-07,0.0016804740702505,1.23059553874443e-06
83,1.53197103912964e-08,-2.78985198117401e-09,1.70612274768249e-07,-1.18962793980767e-08,1.54597135860202e-06,-6.82187140193697e-08,1.76129449758429e-05,-3.62019010543141e-07,0.00170058294969538,-8.91546565217682e-07
84,1.55291931509683e-08,-3.27996543960269e-09,1.72951294209749e-07,-1.37494248731389e-08,1.5671066055746e-06,-7.4063777741393e-08,1.78509031337414e-05,-3.99261932562925e-07,0.00172382303637435,-1.04386788294418e-06
85,1.57176531956002e-08,-9.82132247436009e-10,1.75050569595656e-07,-6.12104937956194e-09,1.58601434801364e-06,-5.16938039796131e-08,1.80592231772814e-05,-3.25182886605718e-07,0.00174477512134867,-2.83459573645372e-07
86,1.59449817392813e-08,1.82030245659894e-09,1.77577414894764e-07,3.27790757386266e-09,1.60893852163047e-06,-2.32362352439968e-08,1.83185934618653e-05,-2.41836983158245e-07,0.00177003361986146,6.48866851832513e-07
87,1.61528471533127e-08,6.35580859402609e-09,1.79867488558723e-07,1.83977674196438e-08,1.62942435660019e-06,2.17910205621836e-08,1.8557541543682e-05,-1.08293336450455e-07,0.00179321568625138,2.16444830250392e-06
88,1.6374753664412e-08,6.94005660107542e-09,1.82360736420873e-07,1.99544018716135e-08,1.65237877054784e-06,2.42568128701698e-08,1.88234338540594e-05,-1.28603657859058e-07,0.00181776386961852,2.37911238706936e-06
89,1.65863060210856e-08,9.16744195392278e-10,1.84705906837912e-07,-3.79344136781381e-11,1.67351888275715e-06,-3.6691829810036e-08,1.90669063436374e-05,-3.47195206023391e-07,0.00184126238318857,3.56906547078509e-07
90,1.68282043388219e-08,-3.05785347842782e-09,1.87423500164865e-07,-1.32614222543521e-08,1.69865084317438e-06,-7.63448555343951e-08,1.93713437569768e-05,-4.71801347660542e-07,0.00186795871333096,-9.68305931794669e-07
91,1.70689410684264e-08,-7.40323494881265e-09,1.90113218407164e-07,-2.81017303577416e-08,1.72283412916279e-06,-1.23372309059375e-07,1.96379492601133e-05,-6.31271670691311e-07,0.00189462370755818,-2.40003091521138e-06
92,1.73267402367241e-08,-1.11509486644972e-08,1.93024451327136e-07,-4.06556531155004e-08,1.74957602960367e-06,-1.57144871454825e-07,1.99523071047836e-05,-6.82454899318646e-07,0.00192305665511759,-3.64400490495209e-06
93,1.76302625270033e-08,-1.516250743068e-08,1.96393517658904e-07,-5.37970960389742e-08,1.77969844676894e-06,-1.93833132913998e-07,2.02976262193446e-05,-7.60504407903595e-07,0.0019568084255771,-4.97907607402719e-06
94,1.79123049867993e-08,-1.28093753956836e-08,1.99540827309871e-07,-4.55361118167772e-08,1.80864030590784e-06,-1.68614573698677e-07,2.06477844222919e-05,-6.50543893186009e-07,0.00198811969124546,-4.21632957618044e-06
95,1.81224891605152e-08,-8.11268599125201e-09,2.01887816956143e-07,-2.9943454360205e-08,1.83019506190604e-06,-1.18935394353446e-07,2.09022107346377e-05,-4.65820143016915e-07,0.00201138260779829,-2.65363550560797e-06
96,1.83664731370276e-08,-4.7540472985922e-09,2.04596383159865e-07,-1.83603423247253e-08,1.85431423650236e-06,-7.97565528382585e-08,2.11616544383235e-05,-3.30642133798475e-07,0.00203852886905588,-1.54421456720973e-06
97,1.85894189428996e-08,-4.4368395173207e-10,2.0706914481735e-07,-4.15368155622664e-09,1.87669117527032e-06,-3.97967173561022e-08,2.1424272285204e-05,-2.0665606654329e-07,0.00206334216049342,-1.02986425398611e-07
98,1.88735738326411e-08,-2.15433723274601e-09,2.10218887309293e-07,-9.38127299553113e-09,1.90453425698746e-06,-5.1657049392884e-08,2.1729474953684e-05,-1.97734950400996e-07,0.00209494355919813,-7.01175504934864e-07
99,1.91051449506353e-08,-2.57968744939923e-09,2.12815611018516e-07,-1.07820367921136e-08,1.92860395848605e-06,-5.75695091319337e-08,2.20142849022437e-05,-2.33704239701355e-07,0.00212056347319569,-8.43792805622685e-07
100,1.934558725353e-08,-6.40866669569748e-09,2.15497404293635e-07,-2.31272758853519e-08,1.95290076124663e-06,-9.10527457075758e-08,2.22854449331679e-05,-3.32768066252482e-07,0.00214721066758773,-2.13732105449941e-06
101,1.95760664143529e-08,-2.9294304242388e-09,2.18076921202075e-07,-1.1615482419265e-08,1.9762370952348e-06,-5.58000764749326e-08,2.25514036990879e-05,-2.25234764506186e-07,0.00217276300906736,-9.80082407940373e-07
102,1.98191842469012e-08,-1.56893651924645e-09,2.20800812657439e-07,-7.32142729122311e-09,2.00175087270535e-06,-4.03984281308792e-08,2.28525091178999e-05,-1.84394619310381e-07,0.00219969528887894,-5.26543391224281e-07
103,2.00659591536374e-08,-1.34864734817181e-09,2.23577450763586e-07,-6.43319623158541e-09,2.02757759390671e-06,-3.91944255342977e-08,2.31774478930093e-05,-2.12422799876909e-07,0.00222694720451341,-4.62761135444047e-07
104,2.03100896559223e-08,3.33888241117406e-10,2.26289820468585e-07,-6.06845645210978e-10,2.05201289566421e-06,-2.01646459068017e-08,2.34510372032549e-05,-1.26142035720425e-07,0.0022540772346009,8.79148433561903e-08
105,2.05412193835755e-08,-1.05674586733907e-09,2.28854086730578e-07,-4.93482750116985e-09,2.07496001005494e-06,-3.13797480814671e-08,2.37022211359783e-05,-1.5271193271219e-07,0.00227980537788628,-3.83110049367593e-07
106,2.08140298798728e-08,-2.32627892238906e-09,2.31885766138665e-07,-8.80441456706654e-09,2.1024034918907e-06,-4.09535670486888e-08,2.40066392498517e-05,-1.66614750371076e-07,0.00231013566737754,-8.20838583900272e-07
107,2.1099552363028e-08,-4.02414579297509e-09,2.35043334480064e-07,-1.42934708093336e-08,2.13046060105892e-06,-5.5838310759674e-08,2.42890672651428e-05,-1.87475543381161e-07,0.00234197550064172,-1.38204179815374e-06
108,2.13610470076406e-08,-5.85816995153527e-09,2.37966505428888e-07,-2.06261483734136e-08,2.15719584881682e-06,-7.68184217966428e-08,2.45927774672599e-05,-2.64774041848801e-07,0.00237092750938942,-1.97703961446461e-06
109,2.1658130996872e-08,-8.20234203655283e-09,2.41282081957606e-07,-2.91107174643451e-08,2.18735943862535e-06,-1.06856286677188e-07,2.49402889501797e-05,-4.14629008320331e-07,0.00240387804676524,-2.73155831812848e-06
110,2.19030467357468e-08,-7.01992511035862e-09,2.44004331812292e-07,-2.50304669891877e-08,2.21194368825815e-06,-9.42171371593728e-08,2.52162113235115e-05,-3.66111070372933e-07,0.00243112309869355,-2.34309579652638e-06
111,2.21797713010246e-08,-9.06241552365243e-09,2.47092670682481e-07,-3.12741682965127e-08,2.23990106029119e-06,-1.09129756113281e-07,2.55348687926996e-05,-4.08921926562895e-07,0.00246185177029534,-3.04402491152408e-06
112,2.24821398127812e-08,-1.25923722841806e-08,2.50458560364953e-07,-4.31610276138757e-08,2.27041232673501e-06,-1.46111525108231e-07,2.58832390721189e-05,-5.67535425474079e-07,0.00249525082890542,-4.24565808257459e-06
113,2.27104092059234e-08,-1.2681928035131e-08,2.53001246347155e-07,-4.30262956241234e-08,2.29358396105991e-06,-1.41882767802321e-07,2.61734159666468e-05,-5.37170268691629e-07,0.00252058883851131,-4.29233742172007e-06
114,2.29781380599861e-08,-1.2545164367988e-08,2.55995668339649e-07,-4.23298827832112e-08,2.32108038028579e-06,-1.37777835406168e-07,2.6504877313972e-05,-4.95171482983806e-07,0.00255025729046928,-4.25397464560475e-06
115,2.3215946003897e-08,-8.64023021725579e-09,2.58637705193998e-07,-2.92999082425087e-08,2.34500520270067e-06,-9.8484352599398e-08,2.67783106133099e-05,-3.40535980609561e-07,0.00257666398350026,-2.95345456718005e-06
116,2.34027448110117e-08,-6.2495214352156e-09,2.60720702731224e-07,-2.09692786074059e-08,2.36382280896562e-06,-7.24640689394624e-08,2.70071103607311e-05,-2.50511567876601e-07,0.00259741298530878,-2.161713041732e-06
117,2.36081983586475e-08,-4.51519353770833e-09,2.63023563331125e-07,-1.55488077382361e-08,2.38513078968854e-06,-5.77004157110136e-08,2.72758095200839e-05,-2.20210255753426e-07,0.00262018171303955,-1.5702188269983e-06
118,2.39070126925937e-08,7.15007843913374e-10,2.6635939292277e-07,1.67502111855164e-09,2.41541947439166e-06,-7.76267813238384e-09,2.76122881497252e-05,-5.24795870215559e-08,0.00265331773263709,1.80392874075216e-07
119,2.4169923577088e-08,1.44903215819424e-08,2.69265260700279e-07,4.77797004828682e-08,2.44134976111242e-06,1.27490004526034e-07,2.7898882562846e-05,4.06601058690398e-07,0.00268256456889593,4.76441232281023e-06
120,2.44371384490751e-08,1.31961487838798e-08,2.72256198160909e-07,4.44821318515574e-08,2.46924863173693e-06,1.23684827617384e-07,2.82129023328097e-05,4.36951564037382e-07,0.00271214099711767,4.26551069468102e-06
121,2.47183047027719e-08,1.43353179367882e-08,2.75391311865207e-07,4.81873716756325e-08,2.49812697416805e-06,1.35632987164703e-07,2.85333099171279e-05,4.64589453916595e-07,0.00274333204640781,4.64710130315134e-06
