t,VarX_0.1,meanX_0.1,VarX_0.3,meanX_0.3,VarX_1,meanX_1,VarX_3,meanX_3,VarA1,meanA1
78,4.76033060231553e-05,5.17098813578176e-07,0.000452534575753952,3.06489217319408e-06,0.0060308913096503,1.74535661329678e-05,0.086479424665107,0.000268610824655856,0.00462524953399503,4.09409551991723e-06
79,4.82197959114102e-05,9.22471996788855e-07,0.000458425343107985,4.35269305558426e-06,0.00611278869252949,2.26098719312991e-05,0.0877738718633135,0.000286199770618563,0.00468398227300265,7.91091787540878e-06
80,4.87809497175141e-05,8.59556591180861e-07,0.000463487094817958,4.01978509765815e-06,0.00618813402692687,2.20085937769998e-05,0.0891039635235255,0.000295100942938105,0.00473880314937898,7.62672503433812e-06
81,4.94086075075818e-05,9.78457476374087e-07,0.00046908361156873,4.42709405768334e-06,0.00625431139253953,2.13770512017251e-05,0.0904499690733222,0.000299526404387018,0.00480116518843134,8.8878201917584e-06
82,5.008365297695e-05,5.91363843831783e-07,0.000475538323803953,3.59741213708279e-06,0.00634276222780138,2.16034291521221e-05,0.0916130870110698,0.000323594110558012,0.00486569935905841,4.77784005107125e-06
83,5.07332442848511e-05,5.55151424097933e-07,0.00048174973844256,3.3555534685411e-06,0.00643341096197859,2.31761855817554e-05,0.0928669032750527,0.000336114306150509,0.00492822455777501,4.52464564220672e-06
84,5.13554745929649e-05,6.23326880511101e-07,0.000487780833574897,3.29377125767262e-06,0.0065130637227704,2.5614128989842e-05,0.094204713771406,0.000345763240024925,0.0049882388621331,5.42395887863618e-06
85,5.19867883483121e-05,1.34387483431664e-06,0.000493792242231883,5.54403167160936e-06,0.00658764631244315,3.29208745976498e-05,0.095587499369616,0.000337052378047529,0.00504813364203224,1.2388539793445e-05
86,5.26716859436724e-05,1.93280807418264e-06,0.000500008778697473,7.3861723412362e-06,0.00666500384363927,3.79635529309687e-05,0.096966234015158,0.00032975049911576,0.00511481393286647,1.80971968488347e-05
87,5.33056940786432e-05,2.12763938007791e-06,0.000505981490215461,8.02100414380953e-06,0.00674216225665837,3.94155741603989e-05,0.0982994873236047,0.000308945891996996,0.00517758152597457,2.02113742335033e-05
88,5.39811572354019e-05,2.30443832142929e-06,0.000512838917713266,8.41731377428321e-06,0.00682331762409809,4.12386606716779e-05,0.0994717485718202,0.000304098665725061,0.00524082178826497,2.21500174426021e-05
89,5.47005357777469e-05,2.31120527484529e-06,0.000519747084332285,8.44923298064846e-06,0.00690387129413615,4.31735212183604e-05,0.100610708497342,0.000304644577470679,0.00530924571288228,2.22912585088687e-05
90,5.54272165163844e-05,2.48401847416535e-06,0.000526346031811836,9.12409564216792e-06,0.00698491955889133,4.89320463654494e-05,0.102010213292983,0.000322858098558123,0.0053779409097436,2.40847359036304e-05
91,5.61679044701194e-05,2.34363558820084e-06,0.000533360227157446,8.57495566502578e-06,0.0070652254662273,4.7923226971782e-05,0.103522530092255,0.000340724182108161,0.00544966692097285,2.28817949782191e-05
92,5.68937208073494e-05,2.26234502159025e-06,0.000540484590821943,8.44005471200658e-06,0.00714615706095218,4.95779876483215e-05,0.104818371018611,0.000350073938421388,0.00551821230345972,2.16723662430749e-05
93,5.75696727161541e-05,2.12170746206076e-06,0.000546629127216922,7.88532836678738e-06,0.00721972405186337,4.96882827702356e-05,0.106159542873859,0.000359171700426014,0.00558491932570797,2.04914053475391e-05
94,5.817882763098e-05,1.92421168157047e-06,0.000552385698476045,7.29268064363081e-06,0.00730179602412613,4.98124933517815e-05,0.10733193796151,0.000352701748931842,0.00564506255715478,1.8744312567635e-05
95,5.87509577306521e-05,2.34376185096091e-06,0.000558017938210809,8.61008055304481e-06,0.00738830991692646,5.59631057172748e-05,0.108680496503988,0.000340082232682282,0.00570022046270835,2.29450280306672e-05
96,5.93358559855632e-05,2.55054998228024e-06,0.000563841998334695,8.92674248096932e-06,0.00748179678851314,5.93335878086723e-05,0.109946668608433,0.000366471077959677,0.00575635997052249,2.55607887588476e-05
97,5.99667547476958e-05,2.92960133409656e-06,0.000569948998037876,9.37613940509089e-06,0.00755646828377501,6.02510072178538e-05,0.111180035169196,0.000367563842235513,0.00581807551359332,3.01932211383737e-05
98,6.05078313459434e-05,2.83282418477271e-06,0.000575490685075334,8.71739013862629e-06,0.00764393175876695,5.99924816494321e-05,0.112301628429722,0.000390034982829347,0.00587050743944734,2.9814020965249e-05
99,6.11189247825523e-05,2.83511031546885e-06,0.000581694993180511,8.95364266675624e-06,0.007732955860011,6.48208558524201e-05,0.113494714400697,0.000411019042728837,0.00592883001404925,2.97682691418675e-05
100,6.17676090926482e-05,2.81097050397352e-06,0.000587870191219539,8.51355222071444e-06,0.00782136046574731,5.99448726713806e-05,0.114921570465704,0.000399101621414017,0.00599323087217448,3.02725035521591e-05
101,6.23879272464257e-05,2.31575136059739e-06,0.000593481246712859,6.99747399780543e-06,0.0078904436415931,5.64651356859988e-05,0.116234794305674,0.000394529684400198,0.00605544004117206,2.55591020279997e-05
102,6.30938613985665e-05,2.19557033901704e-06,0.000599789182852262,6.86616197099847e-06,0.00796872012624961,5.80701474741462e-05,0.117571212489495,0.000378863728277911,0.00612633169896844,2.38928788930764e-05
103,6.37592665793771e-05,2.53946870435767e-06,0.000606216626834607,8.03671427075941e-06,0.00805331932202503,6.14423675175005e-05,0.118819896166674,0.000392011715952652,0.00619158333017945,2.69625062768516e-05
104,6.45297782501213e-05,3.00019514645057e-06,0.000614012394014773,9.712255728424e-06,0.00813154060131308,6.74558578300781e-05,0.119847625776472,0.000377235523162988,0.00626593361533847,3.10642338842604e-05
105,6.53266724208348e-05,3.09518762249209e-06,0.000621690105380185,1.01912842397736e-05,0.0082095365699077,6.91619837406517e-05,0.121252157387822,0.000357736942497465,0.00634249671231462,3.16553951644459e-05
106,6.60405360916651e-05,3.47155406645112e-06,0.000628700563082633,1.1741071100772e-05,0.00829920245495629,7.2468173002101e-05,0.122563379678673,0.000357925856834727,0.00640876197608088,3.46829604773521e-05
